set,repo,method,path,operationId,gt_class,pred_v1,rule_v1,evidence_v1,pred_V3a,pred_V3b,pred_V3c,pred_V4,pred_V5,pred_V6a,pred_V6b,pred_V7,pred_V8
camara,DeviceStatus,POST,/retrieve,getConnectedNetworkType,r,x,floor,,r,x,r,x,x,x,x,x,x
camara,DeviceStatus,POST,/subscriptions,createDeviceReachabilityStatusSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,DeviceStatus,GET,/subscriptions,retrieveDeviceReachabilityStatusSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceStatus,GET,/subscriptions/{subscriptionId},retrieveDeviceReachabilityStatusSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceStatus,DELETE,/subscriptions/{subscriptionId},deleteDeviceReachabilityStatusSubscription,w,w,floor,,w,w,w,w,x,w,w,w,w
camara,DeviceStatus,POST,/retrieve,getReachabilityStatus,r,x,floor,,r,x,r,x,x,x,x,x,x
camara,DeviceStatus,POST,/subscriptions,createDeviceRoamingStatusSubscription,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,DeviceStatus,GET,/subscriptions,retrieveDeviceRoamingStatusSubscriptionList,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceStatus,GET,/subscriptions/{subscriptionId},retrieveDeviceRoamingStatusSubscription,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,DeviceStatus,DELETE,/subscriptions/{subscriptionId},deleteDeviceRoamingStatusSubscription,w,w,floor,,w,w,w,w,x,w,w,w,w
camara,DeviceStatus,POST,/retrieve,getRoamingStatus,r,x,floor,,r,x,r,x,x,x,x,x,x
camara,DeviceSwap,POST,/retrieve-date,retrieveDeviceSwapDate,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,DeviceSwap,POST,/check,checkDeviceSwap,r,r,read-verb,opid:check,r,r,r,r,r,r,r,r,r
camara,DeviceVisitLocation,POST,/retrieve,retrieveDeviceVisitLocation,r,r,read-verb,opid:retrieve,r,r,r,r,r,r,r,r,r
camara,EdgeApplicationManagement,POST,/apps,submitApp,x,x,live-verb,opid:submit,x,x,x,x,x,x,x,x,x
camara,EdgeApplicationManagement,GET,/apps,getApps,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,EdgeApplicationManagement,GET,/apps/{appId},getApp,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,EdgeApplicationManagement,DELETE,/apps/{appId},deleteApp,w,w,floor,,w,w,w,w,w,w,w,w,w
camara,EdgeApplicationManagement,POST,/app-instances,createAppInstance,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,EdgeApplicationManagement,GET,/app-instances,getAppInstances,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,EdgeApplicationManagement,GET,/app-instances/{appInstanceId},getAppInstance,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,EdgeApplicationManagement,DELETE,/app-instances/{appInstanceId},deleteAppInstance,w,x,live-verb,summary:terminate,x,x,x,x,x,x,x,x,x
camara,EdgeApplicationManagement,POST,/deployments,createAppDeployment,x,x,floor,,x,x,x,x,x,x,x,x,w
camara,EdgeApplicationManagement,GET,/deployments,getAppDeployments,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,EdgeApplicationManagement,GET,/deployments/{appDeploymentId},getAppDeployment,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,EdgeApplicationManagement,DELETE,/deployments/{appDeploymentId},deleteAppDeployment,w,x,live-verb,summary:terminate,x,x,x,x,x,x,x,x,x
camara,EdgeApplicationManagement,PATCH,/deployments/{appDeploymentId},updateAppDeployment,w,x,floor,,x,x,x,x,x,x,x,w,x
camara,EdgeApplicationManagement,GET,/edge-cloud-zones,getEdgeCloudZones,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,EnergyFootprintNotification,POST,/calculate-energy-consumption,calculateEnergyConsumption,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,EnergyFootprintNotification,POST,/calculate-carbon-footprint,calculateCarbonFootprint,x,x,floor,,x,x,x,x,x,x,x,x,x
camara,HighThroughputElasticNetworks,POST,/high-throughput-elastic-network/transmission/schedule,scheduleTransmission,x,x,live-verb,summary:submit,x,x,x,x,x,x,x,x,x
camara,InHomeDeviceManagement,GET,/v1/devices,listDevices,r,r,floor,,r,r,r,r,r,r,r,r,r
camara,InHomeDeviceManagement,GET,/v1/devices/{deviceId},getDevice,r,r,floor,,r,r,r,r,r,r,r,r,r
